5	132409
6	110357
7	94731
8	82967
9	73757
10	66464
11	60454
12	55566
13	51296
14	47605
15	44332
16	41740
17	39260
18	37100
19	35290
20	33563
21	31830
22	30418
23	29306
24	27997
25	26809
26	25903
27	24952
28	23941
29	23282
30	22478
31	21902
32	21098
33	20519
34	19929
35	19417
36	19034
37	18377
38	17785
39	17462
40	17027
41	16599
42	16196
43	15832
44	15526
45	15100
46	14948
47	14660
48	14310
49	14144
50	13652
5	1109078
6	1003994
7	809198
8	682102
9	613237
10	605630
12	554961
13	539324
14	405233
15	404810
16	357088
17	335334
5	1323269
6	1102882
7	949321
8	830885
9	738424
10	664964
11	605309
12	556308
13	517941
14	480980
15	450253
16	425113
17	399739
18	378421
19	357677
20	339557
21	324547
22	309425
23	296164
24	284678
25	278641
26	264158
27	254862
28	245613
29	237793
30	229902
31	223206
32	215236
33	208895
34	206205
35	199006
36	192850
37	189425
38	184400
39	179269
40	175946
41	172650
42	167496
43	163979
44	160960
45	157542
46	155060
47	151118
48	148268
49	145417
50	142456
5	3005174
6	2507417
7	2154873
8	1888578
9	1688613
10	1521891
11	1385005
12	1267313
13	1174703
14	1091622
15	1020759
16	957124
17	905437
18	861629
19	822001
20	777193
21	744972
22	710973
23	673435
24	655596
25	630934
26	604167
27	587609
28	568758
29	544579
5	5463001
6	4553508
7	3904266
8	3416503
9	3037837
10	2735816
11	2498714
12	2290653
13	2115255
14	1965382
15	1835731
16	1722671
17	1623521
18	1531795
19	1451409
20	1382123
21	1317091
22	1258205
23	1202220
24	1153169
25	1106741
26	1064087
27	1024850
28	990109
29	953385
30	923274
31	891406
32	864381
33	838808
34	817272
35	791442
36	772415
37	754203
38	727501
39	711328
40	694979
41	677385
42	662341
43	645928
44	634721
45	622513
46	605719
47	594272
48	582322
49	570414
50	557433
