5	5623536	5622415	5621852	5600123	5599900	5599582	5599524	5598995	5598990	5598981	5598935	5598731	5598731	5598659	5598618	5598601	5598560	5598543	5598543	5598511	5598456	5598447	5598418	5598417
6	4689560	4687646	4687100	4685878	4669843	4668802	4668297	4667904	4667127	4667102	4667085	4667048	4666643	4666536	4666381	4666328	4666306	4666295	4666295	4666139	4666089	4666072	4665908	4665831
7	4021040	4019649	4019563	4019066	4018728	4018358	4018187	4017931	4017900	4017713	4017310	4016911	4016016	4005696	4004339	4004245	4003479	4003284	4002575	4001166	4000929	4000882	4000562	4000484
8	3530245	3530245	3530245	3528309	3527912	3522324	3521282	3520725	3520112	3520102	3519855	3518963	3518250	3518048	3516475	3516106	3506747	3506632	3503873	3503734	3503585	3502786	3502605	3500619
9	3137029	3136618	3135962	3132828	3131553	3131486	3130839	3130634	3130112	3129740	3129210	3128694	3128597	3128315	3128253	3127361	3127058	3126682	3124777	3124739	3119094	3116231	3113828	3112336
10	2830521	2827231	2822347	2820898	2820597	2819210	2818894	2818713	2818076	2817884	2817388	2816836	2816692	2816502	2816500	2816443	2816427	2816264	2815671	2815133	2815070	2813478	2813133	2806303
11	2580547	2572901	2572901	2569400	2569093	2568494	2567587	2567494	2566750	2565548	2565311	2564887	2564608	2564525	2564249	2564201	2563581	2563138	2562050	2561815	2561689	2561336	2559655	2559170
12	2362953	2360169	2357207	2356801	2355529	2354659	2354567	2353688	2353688	2353375	2353251	2352915	2352303	2350592	2350454	2350321	2349664	2349596	2349012	2348336	2347643	2346126	2346117	2345848
13	2185681	2184883	2184393	2182322	2181194	2180173	2180005	2179666	2179220	2178907	2178500	2178173	2177027	2176594	2175806	2175385	2173542	2173234	2173127	2172737	2172618	2172219	2171263	2170648
14	2033510	2033066	2030461	2027890	2026912	2024079	2024026	2023675	2022847	2022483	2022474	2021673	2021120	2020260	2020176	2019834	2019219	2018848	2018196	2017021	2014051	2013627	2013491	2012824
15	1898785	1895718	1895236	1894160	1893457	1892351	1892236	1891227	1891190	1891038	1890408	1889518	1889438	1889342	1888415	1887596	1887436	1887436	1886992	1886896	1886644	1885218	1883335	1882440
16	1784739	1784415	1782151	1781060	1777845	1777757	1777730	1777478	1777443	1777305	1776764	1775947	1775716	1775716	1775495	1775370	1775328	1773556	1773350	1773129	1772724	1772523	1768492	1768357
17	1686458	1681932	1678002	1677979	1677269	1675740	1674863	1674863	1673930	1673152	1672698	1672508	1672058	1671636	1670179	1669337	1668785	1668349	1667439	1666817	1665397	1664978	1664941	1664640
18	1590242	1590093	1585135	1584006	1583366	1583266	1583038	1582861	1582365	1581862	1580064	1579534	1577672	1576518	1576510	1576206	1575355	1574204	1573859	1572873	1572397	1572351	1570172	1568817
19	1502652	1502194	1501716	1501244	1500929	1500365	1499480	1497963	1497801	1497014	1496954	1496801	1496468	1496081	1495528	1495285	1494091	1493340	1493177	1492232	1491834	1491347	1489911	1489722
20	1438632	1435093	1432495	1432318	1431262	1427455	1427443	1427061	1426269	1425840	1424546	1423908	1423661	1422954	1422476	1422283	1421825	1420750	1420075	1419619	1418697	1418516	1416752	1414287
21	1365265	1364656	1363859	1363283	1361945	1359871	1359518	1358977	1358464	1358456	1357903	1357704	1357228	1357137	1356518	1356402	1355970	1354579	1354194	1354035	1353686	1351743	1350437	1346491
22	1313330	1309924	1304200	1301122	1301063	1300954	1300859	1300177	1296721	1296721	1296721	1296585	1296197	1295690	1294389	1294034	1292675	1292450	1292094	1291697	1290138	1289859	1289327	1289259
23	1242678	1242496	1239783	1237770	1237214	1236966	1235816	1235560	1235560	1235510	1234638	1234534	1234115	1233971	1232758	1232041	1231739	1231490	1231448	1230227	1229647	1226336	1224966	1224906
24	1196780	1195927	1195505	1194584	1194381	1190694	1190174	1189367	1188822	1188822	1188264	1187574	1187087	1186341	1186259	1185374	1185322	1185322	1182628	1182012	1181035	1180892	1179547	1176010
25	1158186	1155310	1149175	1147443	1144485	1142642	1141318	1140066	1139178	1138945	1138498	1138425	1137486	1137213	1136776	1136236	1136210	1135846	1134777	1133672	1132309	1131749	1129592	1128190
26	1104925	1103959	1100717	1100218	1097946	1096961	1096755	1095467	1095015	1094769	1094358	1093361	1092926	1092661	1091904	1091863	1090513	1090432	1089310	1088184	1088054	1087365	1085664	1084539
27	1065388	1064999	1064999	1061202	1060234	1058992	1058954	1058859	1058760	1057019	1056967	1055881	1055853	1055054	1054632	1053692	1053630	1053147	1052907	1052496	1051370	1050324	1045434	1044351
28	1032652	1024066	1023950	1022721	1021558	1020423	1019675	1018331	1017150	1017084	1017083	1016770	1016219	1015302	1014579	1014579	1014550	1013700	1012976	1012783	1012007	1010296	1009708	1009658
29	1001193	993883	992335	990763	990616	989543	988551	987624	987320	986773	986337	986334	986140	985867	985420	984403	981525	981286	980986	980797	980327	979119	976983	975154
30	965948	961991	960939	957344	957344	954863	954863	954619	953455	952069	951393	951141	950957	949821	949664	949483	949266	949195	948919	948626	946879	946558	944641	943582
31	929033	928765	925533	924776	924727	922283	922109	921654	921461	920608	920217	920046	919829	919368	919366	919347	918813	918701	918241	917086	916514	915673	915571	914615
32	915562	902774	900729	900383	899097	898955	898364	897616	897061	896495	895198	895006	894756	894396	894036	893869	893383	892967	891857	891350	889364	888942	886873	884295
33	877282	876570	875256	874661	872218	872186	871263	870987	870330	870126	867781	867495	867325	866809	866590	866325	865983	863610	863291	862316	862000	861935	861663	859719
34	852928	850657	850398	848732	848040	847707	847124	843903	841812	841245	839747	839325	839219	839092	839069	839016	838793	838725	837557	837200	837054	835507	835201	834949
35	826588	824528	823736	823496	822434	821733	821707	821663	820191	820191	819923	819643	819625	819461	819121	818414	817275	816550	816495	816275	815970	814827	813661	811778
36	807325	804431	804067	801141	801139	800231	800127	800096	799290	798940	798201	797786	797752	797409	796512	796457	796212	795859	793464	792423	791581	790942	788373	787563
37	785120	784638	782535	781947	781018	779943	779605	776978	776865	776604	776170	776086	775920	775835	775386	775323	775067	774878	774511	773532	773176	772339	771623	770766
38	767994	762303	762224	759739	759707	759388	758680	758175	757312	756804	756587	756396	755098	754619	754479	753355	753309	753030	752924	752422	752354	750468	749894	743911
39	745767	742102	741414	740962	740459	740420	739808	739420	739270	738242	738161	736937	736873	736348	736162	735836	735360	735152	733506	733161	733000	731236	728034	727988
40	729861	722932	722540	722069	721276	721245	718760	718697	718005	717766	717211	717148	717148	717096	716700	716472	715032	714736	714563	713411	713003	711985	711957	709140
41	724629	713168	712715	707559	707414	705807	703641	703241	702639	702200	700877	700747	700686	699973	699875	698778	698568	698176	698098	698069	697527	697101	696805	696542
42	700403	696861	695183	693960	689898	689028	688071	687847	687407	686955	686386	685732	685545	685280	684237	684214	683592	680653	680623	680457	679902	678259	677665	677076
43	687424	680512	680076	679074	678837	676518	675775	674212	672223	671316	669631	669274	668817	668317	668261	668112	667619	667103	666685	665617	664393	664359	663571	660535
44	664577	663748	663710	660911	658530	658465	657645	656659	656325	655761	655193	654853	654799	653147	652123	651627	650796	649765	649746	648979	648724	648478	647545	644501
45	657856	651035	645828	645806	645372	645224	644975	642940	642611	641898	640711	640710	640566	640548	640405	640352	639324	639199	637309	636799	635829	634931	634615	632134
46	632812	631686	629215	629177	628937	628225	628049	627809	627499	627409	627405	626699	625061	625059	623441	623414	622938	622863	622754	620747	620720	619619	618252	618144
