1	94112
2	61619
1	100513
2	50594
3	34754
1	149706
2	140274
1	349672
2	303068
1	76
2	43
1	23417
2	19839
1	387846
2	313634
1	4684674
2	3022595
3	1562583
4	1512323
1	127947
2	104075
1	6502099
2	3253835
3	2256539
4	1994591
5	1993802
6	1259243
7	998084
1	114492
2	100358
1	5475
2	2783
3	2321
1	10399
2	6554
1	551212
2	342053
1	120261
2	60333
3	58823
1	390244
2	195492
3	130575
4	97931
5	78641
6	65658
7	57504
1	35065
2	17573
3	11811
4	10691
1	16005
2	11395
1	7831
2	5519
1	7635
2	5381
1	137047
2	131462
1	131971
2	126593
1	1528618
2	764841
3	731808
1	796306
2	718099
1	80690
2	40446
3	28458
1	1753
2	890
3	602
4	452
5	369
6	314
7	273
8	233
9	218
10	191
11	178
12	164
13	150
15	136
16	123
18	122
19	109
22	96
23	95
26	82
30	81
32	68
43	55
45	54
1	586
2	303
3	206
4	162
5	130
6	108
7	97
8	86
9	76
10	75
11	65
12	64
14	54
16	53
18	43
23	42
27	32
46	31
53	21
1	20
2	13
3	10
5	7
1	10736
2	5435
3	3668
4	2785
5	2241
6	1901
7	1630
8	1426
9	1290
10	1154
11	1086
12	1018
13	950
14	882
15	814
16	747
17	746
18	679
19	678
20	611
22	610
23	543
25	542
27	475
30	474
32	407
38	406
40	339
50	338
53	271
1	54713
2	46055
1	147353046
2	73679893
3	52243757
4	36841632
5	31350299
6	26125249
7	21055250
8	20900199
9	20896828
10	15678520
12	15675149
13	15671778
14	10530995
15	10453470
23	10450099
26	10446728
28	5268868
29	5228420
