1	2833432
2	1423109
3	945023
4	740459
5	567014
6	494049
7	431729
8	370639
9	315281
10	307909
11	304219
12	248049
13	246409
14	244359
15	189415
16	186549
17	186139
18	185319
19	181629
20	180809
21	179579
22	177939
23	127099
24	126689
1	7906
2	4049
3	2892
4	2121
5	1735
6	1542
7	1349
8	1157
9	1156
10	964
12	963
14	771
17	770
20	578
1	26597
2	13623
3	9730
4	7136
5	5838
6	5189
7	4541
8	3892
10	3243
14	2595
15	2594
20	1946
21	1945
1	1652
2	832
3	558
4	427
5	344
6	285
7	249
8	225
9	201
10	178
11	167
12	154
13	142
14	131
16	119
20	107
23	83
1	631161
2	318644
3	214472
4	165449
5	134810
6	110300
7	98044
8	85788
9	79660
10	73532
11	67405
12	61277
13	55150
14	55149
15	49022
16	49021
17	42894
20	42893
21	36766
1	5301239
2	2650729
3	1809815
4	1358456
5	1126316
6	907097
7	793217
8	679337
9	674957
10	565457
11	561077
12	455738
13	451577
14	451358
15	447197
16	341858
20	337478
22	333317
23	230821
24	227978
1	5850
2	3014
3	2127
4	1596
5	1418
6	1241
7	1064
8	887
9	886
11	709
16	532
1	5850
2	3014
3	2127
4	1596
5	1418
6	1241
7	1064
8	887
9	886
11	709
16	532
1	8482
2	4433
3	3084
4	2313
5	1927
6	1734
7	1541
8	1349
9	1156
11	964
12	963
15	771
17	770
22	578
1	312080
2	157204
3	104803
4	79184
5	64046
6	53566
7	46579
8	40756
9	36099
10	32605
11	30276
12	27947
13	25618
14	24454
15	22125
16	20960
17	19796
18	18632
19	18631
20	17467
21	16303
22	16302
23	15138
1	135845
2	68016
3	45469
4	34197
5	30643
6	22922
7	19727
8	17286
9	15603
1	1785278
2	892835
3	595412
4	446852
5	363383
6	297902
7	255581
8	223817
9	217951
10	181887
12	149342
13	145823
14	145431
16	112105
17	109367
20	108975
23	77995
24	74867
1	1879524
2	939859
3	639989
4	480479
5	395654
6	320969
7	278654
8	242384
9	235754
10	200069
11	193634
12	165749
13	159509
14	153269
15	152879
16	123434
17	123239
19	116999
21	110564
22	110369
23	85214
1	1879524
2	939859
3	639989
4	480479
5	395654
6	320969
7	278654
8	242384
9	235754
10	200069
11	193634
12	165749
13	159509
14	153269
15	152879
16	123434
17	123239
19	116999
21	110564
22	110369
23	85214
1	12994
2	6641
3	4620
4	3465
5	2887
6	2598
7	2309
8	2021
9	1732
11	1444
12	1443
15	1155
17	1154
22	866
1	54712
2	27752
3	18634
4	14272
5	11497
6	9515
7	8326
8	7532
9	6740
10	5947
11	5550
12	5154
13	4757
14	4361
16	3964
18	3568
20	3172
22	3171
23	2775
1	1418234
2	709372
3	483258
4	354794
5	290128
6	257361
7	225028
8	192912
9	161664
10	160579
11	129548
12	129331
13	128680
14	128029
15	97215
18	96998
19	96347
20	95913
21	95696
22	64882
1	3394
2	1739
3	1188
4	891
5	721
6	636
7	551
8	467
9	424
10	382
12	339
14	297
16	255
17	254
20	212
1	1016074
2	508247
3	338832
4	254229
5	203383
6	169629
7	145800
8	127222
9	113084
10	104444
11	92619
12	85025
13	83344
14	83133
15	67935
16	63716
17	62666
21	62244
22	46415
23	44515
24	42618
1	3163654
2	1582035
3	1057511
4	791442
5	636758
6	551690
7	477047
8	416582
9	361121
10	346109
11	290648
12	286061
13	271466
14	261458
15	216005
16	215588
19	200993
20	200576
21	186398
22	150536
23	145532
1	3394
2	1739
3	1188
4	891
5	721
6	636
7	551
8	467
9	424
10	382
12	339
14	297
16	255
17	254
20	212
1	1840
2	941
3	642
4	513
5	427
6	342
7	299
9	256
11	214
12	213
14	171
17	170
21	128
1	1819997
2	914149
3	606978
4	475404
5	364237
6	317719
7	277534
8	240874
9	202562
10	200689
11	194579
12	160739
13	160504
14	156979
15	121725
16	120554
20	120319
21	116794
22	114209
23	80604
1	55300
2	30722
3	21506
4	18433
5	15361
6	12289
9	9217
17	6145
1	80656
2	43016
3	29574
4	24196
5	18820
6	16131
8	13442
10	10754
15	8066
16	8065
1	4162
2	2129
3	1452
4	1161
5	967
6	774
7	677
9	580
11	484
12	483
14	387
17	386
21	290
1	2803245
2	1402081
3	954596
4	713425
5	588713
6	480507
7	418151
8	365882
9	341123
10	303526
11	279684
12	248506
14	232000
15	217328
16	187067
17	186150
20	179731
21	170561
22	154972
23	125628
1	43610
2	22201
3	15065
4	11497
5	9118
6	7929
7	6740
8	5947
9	5550
10	4757
11	4361
13	3964
14	3568
16	3172
17	3171
19	2775
22	2379
1	1149163
2	580587
3	387173
4	290466
5	230074
6	193759
7	164339
8	161235
9	129230
10	129057
11	128884
12	97052
13	96879
15	96706
16	96533
18	64874
19	64701
22	64528
1	8482
2	4433
3	3084
4	2313
5	1927
6	1734
7	1541
8	1349
9	1156
11	964
12	963
15	771
17	770
22	578
1	30466
2	15335
3	10428
4	7770
5	6338
6	5316
7	4702
8	4089
9	3680
10	3271
11	3067
12	2862
13	2658
14	2453
15	2249
17	2045
18	2044
19	1840
22	1636
24	1635
1	829724
2	416404
3	280687
4	209744
5	169646
6	141886
7	123379
8	107956
9	95619
10	86365
11	80196
12	74027
13	67858
14	64774
15	58605
16	55520
17	52436
18	49352
19	49351
20	46267
21	43183
22	43182
23	40098
