1	428	650
2	220	652
3	155	654
4	116	658
5	103	660
6	90	661
7	77	663
8	64	664
11	51	666
16	38	667
1	15292	590
2	7719	591
3	5146	593
4	3896	594
5	3161	595
6	2646	596
7	2279	598
8	1985	599
9	1764	600
10	1617	602
11	1470	603
12	1396	604
13	1250	605
14	1176	607
15	1103	609
16	1029	611
1	5058	819
2	2582	822
3	2507	824
1	26602	273
2	13354	275
3	11129	277
4	6782	278
5	5829	280
1	191874	685
2	95992	686
3	64070	687
4	48106	688
5	38481	689
6	32167	690
7	27613	692
8	24163	693
9	21518	695
10	19757	696
11	17624	697
12	16194	698
13	14983	699
14	14873	699
16	12192	700
1	185794	345
2	93014	346
3	62248	347
4	46741	348
5	37364	349
6	31241	351
7	28199	352
8	23488	353
9	20906	356
10	19034	357
12	18799	358
14	18564	359
16	11978	361
1	65686	524
2	32891	525
3	21959	526
4	16493	527
5	13243	528
6	11027	529
7	9695	531
8	8342	532
9	7383	534
10	6717	536
11	6431	537
16	4219	538
1	22427	751
2	11262	752 
3	8721	753
4	5680	755	
5	4605	756
1	26351	630
2	13182	632
3	8802	635
4	6597	637
5	5310	638
6	4440	639
7	3798	641
8	3305	643
9	2964	645
10	2820	646
11	2418	647
12	2226	648
13	2118	649
16	1659	650
1	120188	1132
2	60128	1135
3	40137	1137
4	30132	1139
5	24701	1141
6	21182	1142
7	17663	1143
8	15100	1145
9	14144	1146
11	11033	1147
12	10625	1148
16	7586	1150
