1	116775
2	58522
3	39104
4	29395
5	23463
6	19690
7	16855
8	14832
9	13216
10	11876
11	11474
14	8495
15	7955
16	7550
17	7011
18	6743
19	6341
20	6073
21	5939
1	29168
2	14621
3	9822
4	7348
5	6374
1	14246
2	7180
3	4806
4	3647
5	3131
1	100057
2	50297
3	33621
4	25283
5	20441
6	16945
7	14794
1	8314
2	4208
3	3327
4	2130
5	1715
1	4252
2	2144
3	1775
1	4022
2	2028
3	1679
1	5902
2	2967
3	2009
4	1695
1	8326
2	4484
1	11653
2	5841
3	3904
4	2950
5	2354
6	1967
7	1698
8	1490
9	1340
10	1192
11	1102
12	1013
13	924
14	864
15	804
16	774
17	715
18	685
19	655
20	625
21	595
22	566
23	536
25	506
26	477
28	448
30	419
1	3169
2	1592
3	1072
4	804
5	646
6	551
7	472
8	410
9	378
10	331
11	314
12	283
13	267
14	251
15	236
16	220
17	205
18	204
19	189
20	174
23	159
1	2970
2	1493
3	1001
4	763
5	610
6	509
7	441
8	390
9	355
10	321
11	288
12	271
13	254
14	237
1	33338
2	16925
3	11796
4	8719
5	7180
6	6154
7	5641
8	4616
9	4615
10	4102
11	3590
12	3589
13	3077
15	3076
16	2564
20	2563
22	2051
29	2050
32	1538
1	144498
2	72761
3	49190
4	36893
5	29719
6	25619
7	21521
8	19471
9	17421
10	15372
11	14347
12	13322
13	12297
14	11273
15	11272
16	10248
17	10247
18	9223
19	9222
20	8198
23	8197
24	7173
28	6149
29	6148
35	5124
38	5123
